15/07/2025 14:34:53 |  13748 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
15/07/2025 14:34:54 |  13748 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
15/07/2025 14:34:54 |  13748 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
15/07/2025 14:34:55 |  13748 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
15/07/2025 14:34:56 |  13748 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
15/07/2025 14:34:56 |  13748 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
15/07/2025 14:34:57 |  13748 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
15/07/2025 14:34:57 |  13748 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
15/07/2025 14:34:58 |  13748 | INFO     | get_all_condominios            | Página 8 processada. 50 condomínios encontrados.
15/07/2025 14:34:58 |  13748 | INFO     | get_all_condominios            | Página 9 processada. 50 condomínios encontrados.
15/07/2025 14:34:59 |  13748 | INFO     | get_all_condominios            | Página 10 processada. 50 condomínios encontrados.
15/07/2025 14:34:59 |  13748 | INFO     | get_all_condominios            | Página 11 processada. 50 condomínios encontrados.
15/07/2025 14:35:00 |  13748 | INFO     | get_all_condominios            | Página 12 processada. 50 condomínios encontrados.
15/07/2025 14:35:00 |  13748 | INFO     | get_all_condominios            | Página 13 processada. 50 condomínios encontrados.
15/07/2025 14:35:01 |  13748 | INFO     | get_all_condominios            | Página 14 processada. 11 condomínios encontrados.
15/07/2025 14:35:01 |  13748 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 661 condomínios.
15/07/2025 14:35:01 |  13748 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
15/07/2025 14:45:51 |  28644 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
15/07/2025 14:45:52 |  28644 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
15/07/2025 14:45:53 |  28644 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
15/07/2025 14:45:53 |  28644 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
